iter	MultiClass
138	0.4607388909
139	0.4605485237
140	0.4603028549
141	0.4601250057
142	0.4599484267
143	0.4597221074
144	0.4596270757
145	0.459512852
146	0.4593314613
147	0.4591553313
148	0.4590157067
149	0.4588807937
150	0.4586706424
151	0.4585127391
152	0.4583287106
153	0.458062697
154	0.4578888332
155	0.4577506714
156	0.4576181027
157	0.4575342487
158	0.4574868345
159	0.4573274304
160	0.4572474712
161	0.4571579362
162	0.4569544873
163	0.4569022113
164	0.4567361329
165	0.4565894404
166	0.4564162399
167	0.4562987897
168	0.4561532364
169	0.4560128382
170	0.4559232593
171	0.4557144954
172	0.4555875923
173	0.4554160649
174	0.4553166533
175	0.4551289915
176	0.454963318
177	0.454859583
178	0.4547148025
179	0.4545364726
180	0.4544623492
181	0.4543898438
182	0.4543198423
183	0.4542772175
184	0.4541863316
185	0.4540705265
186	0.4539383526
187	0.4538736734
188	0.4538033733
189	0.4537187455
190	0.4536453478
191	0.4534358295
192	0.4533542654
193	0.4532261052
194	0.4531151841
195	0.4530370645
196	0.4528762594
197	0.4527869773
198	0.4527571798
199	0.4527185588
200	0.4525955044
201	0.4525081929
202	0.452450615
203	0.4523708902
204	0.4523192046
205	0.4522156837
206	0.4520811034
207	0.4520611948
208	0.4519666984
209	0.4518067849
210	0.4516926835
211	0.4516572106
212	0.4515392315
213	0.4514302716
214	0.4512895489
215	0.4512653709
216	0.4512083006
217	0.451207346
218	0.4510310331
219	0.4509698642
220	0.4508803419
221	0.4508017373
222	0.450763763
223	0.4506996437
224	0.4506480507
225	0.4506239991
226	0.4505280271
227	0.4504929367
228	0.4504494413
229	0.4504077137
230	0.4502749237
231	0.4502641464
232	0.4501718144
233	0.4501316551
234	0.450009932
235	0.4499606127
236	0.4498568541
237	0.4497993113
238	0.4497214903
239	0.4496358106
240	0.4495672408
241	0.4494422159
242	0.4494155515
243	0.44926339
244	0.44918597
245	0.4491262521
246	0.4490243498
247	0.4489739761
248	0.4489126323
249	0.4487796824
250	0.4487035032
251	0.4486974687
252	0.448669752
253	0.4486128908
254	0.4485719404
255	0.4484482285
256	0.4483462082
257	0.4483154462
258	0.4481447108
259	0.4481022988
260	0.4479456827
261	0.4479332746
262	0.447918929
263	0.4478241606
264	0.4477096096
265	0.4476316808
266	0.4474899775
267	0.4474401344
268	0.4473243997
269	0.4472951311
270	0.4472022513
271	0.4471403304
272	0.4470852829
273	0.4470117571
274	0.4469721929
275	0.446949321
276	0.4468989854
277	0.4467909582
278	0.4467709598
279	0.4467043628
280	0.4466585377
281	0.4465492046
282	0.4464475984
283	0.4463552006
284	0.4462197933
285	0.4462073561
286	0.4461581103
287	0.4460531924
288	0.446027306
289	0.4459846921
290	0.4458654576
291	0.4457552287
292	0.4457061631
293	0.4455394301
294	0.4455160615
295	0.4454288649
296	0.4453914984
297	0.4453275955
298	0.4452661341
299	0.4451616625
300	0.445130599
301	0.4450909261
302	0.4450821982
303	0.4450494525
304	0.4450218984
305	0.4449557544
306	0.4449049401
307	0.4448249832
308	0.4447273476
309	0.4446354648
310	0.4445862183
311	0.4445201981
312	0.4444806696
313	0.4444452269
314	0.4443337183
315	0.4442466086
316	0.444214524
317	0.444174888
318	0.4440940778
319	0.4440710877
320	0.4439460993
321	0.4439372382
322	0.443919199
323	0.4438878366
324	0.4438633494
325	0.4437485925
326	0.4437366998
327	0.4437048722
328	0.4436544524
329	0.4435561567
330	0.4434209113
331	0.4433088848
332	0.4432553087
333	0.4432304626
334	0.4431073571
335	0.4429992188
336	0.4429814489
337	0.442840436
338	0.4427972571
339	0.44276335
340	0.4427011018
341	0.4425971876
342	0.4425514022
343	0.4424255774
344	0.4423788269
345	0.4423548541
346	0.4422992374
347	0.4422771822
348	0.4422218128
349	0.4421216697
350	0.4420253757
351	0.441969959
352	0.4418584727
353	0.4418323827
354	0.4418029679
355	0.4417364497
356	0.4417157083
357	0.4416345722
358	0.4414952506
359	0.4414681472
360	0.4413995206
361	0.4412311734
362	0.4411790315
363	0.4411483408
364	0.4410463278
365	0.441005634
366	0.4409932098
367	0.4408898618
368	0.4408314615
369	0.4407447965
370	0.4406920108
371	0.4406449932
372	0.4405965008
373	0.4404870497
374	0.440449879
375	0.4403979525
376	0.4403523056
377	0.4402804559
378	0.4402183726
379	0.4401726467
380	0.44006577
381	0.4400177639
382	0.4399815296
383	0.4399648039
384	0.4398476197
385	0.4397998398
386	0.4397794372
387	0.4397245266
388	0.4396265002
389	0.4396052696
390	0.4395848323
391	0.4394237023
392	0.4393696937
393	0.4392895981
394	0.4392667724
395	0.4391871631
396	0.4391595202
397	0.4390871297
398	0.4389736108
399	0.4389004318
400	0.4388781681
401	0.4388245871
402	0.4387907146
403	0.4386776938
404	0.4386069116
405	0.4385849838
406	0.4385233805
407	0.4384985448
408	0.438395592
409	0.4383133962
410	0.4382743714
411	0.4381604357
412	0.438106741
413	0.4380879925
414	0.4379524841
415	0.4379198341
416	0.4378586095
417	0.4377718902
418	0.4376424813
419	0.4376229751
420	0.4375486859
421	0.4375118954
422	0.4374760295
423	0.4374272812
424	0.4373488002
425	0.4372613471
426	0.4372022046
427	0.4371291929
428	0.4370971815
429	0.4370618102
430	0.4369918247
431	0.4369832112
432	0.4369494698
433	0.4369440687
434	0.4368370724
435	0.4367550157
436	0.4366497362
437	0.4366378331
438	0.4366020674
439	0.4365350982
440	0.4364714916
441	0.4363524498
442	0.4362192312
443	0.4361996385
444	0.4361799973
445	0.4361125874
446	0.4360708438
447	0.435974585
448	0.4359443037
449	0.4358159765
450	0.4356736312
451	0.4356594266
452	0.4355833404
453	0.4355295934
454	0.4355038505
455	0.4354058196
456	0.4353883904
457	0.4353537056
458	0.435269659
459	0.4351961589
460	0.4351514975
461	0.435117389
462	0.4350519307
463	0.4349786628
464	0.4349648546
465	0.4349533531
466	0.4349209571
467	0.434898155
468	0.4348641062
469	0.4348006031
470	0.4346952182
471	0.4346787208
472	0.4346148854
473	0.4345547677
474	0.4344574512
475	0.4344408828
476	0.4343457606
477	0.434332666
478	0.4343175782
479	0.4341947375
480	0.4341389809
481	0.434069103
482	0.4340301118
483	0.4339826202
484	0.4339432223
485	0.4338639049
486	0.4337571539
487	0.433656351
488	0.433623754
489	0.4335393469
490	0.4335254464
491	0.4335068088
492	0.4334714071
493	0.433447179
494	0.4333781761
495	0.4333384769
496	0.4333308033
497	0.4333061568
498	0.4332619065
499	0.433189575
500	0.4331634818
501	0.4331489752
502	0.4331063429
503	0.4330659561
504	0.4330021471
505	0.4329379121
506	0.4328920766
507	0.4328712313
508	0.4328521594
509	0.4328318414
510	0.4328082778
511	0.4327816912
512	0.4327386025
513	0.432636167
514	0.4325482168
515	0.4325014366
516	0.4324200711
517	0.4323894433
518	0.4323356565
519	0.4322312744
520	0.4321770046
521	0.4321463825
522	0.4321080921
523	0.4320398891
524	0.4319232796
525	0.4318911412
526	0.431838549
527	0.4318121183
528	0.4317497596
529	0.4317107666
530	0.4316758155
531	0.4316011716
532	0.431593558
533	0.4315705493
534	0.4315037347
535	0.4314814439
536	0.4314011126
537	0.4313711793
538	0.4313324147
539	0.4313140649
540	0.4312561165
541	0.4312128739
542	0.4311296888
543	0.4311081042
544	0.4310862469
545	0.4310003739
546	0.4309614106
547	0.4309414767
548	0.4309054987
549	0.4308775449
550	0.4308396556
551	0.4307863727
552	0.430777309
553	0.4307542413
554	0.430726951
555	0.4307164341
556	0.4306413922
557	0.4306140218
558	0.4305986903
559	0.430569322
560	0.4305128435
561	0.430499782
562	0.4304693387
563	0.4304505457
564	0.4304210768
565	0.430389877
566	0.4303832395
567	0.430340382
568	0.430280285
569	0.4302532292
570	0.4302328694
571	0.4301763599
572	0.4301282769
573	0.4300965404
574	0.4300815827
575	0.4300461866
576	0.4300364887
577	0.429999067
578	0.4299821343
579	0.4299599855
580	0.4299562556
581	0.4299283118
582	0.4298763466
583	0.429853034
584	0.4297872116
585	0.4297364715
586	0.4296701142
587	0.4296043899
588	0.4295614084
589	0.4295299292
590	0.4294840662
591	0.4294424305
592	0.4293502073
593	0.4292992797
594	0.4292441721
595	0.4291790728
596	0.4291555926
597	0.4290743287
598	0.4290443109
599	0.429003807
600	0.4289238197
601	0.4288822734
602	0.4288154584
603	0.4287705593
604	0.4287184794
605	0.4287013895
606	0.4286371957
607	0.4285924291
608	0.4285779418
609	0.4285250976
610	0.4285172724
611	0.4284576334
612	0.4284489271
613	0.4284106301
614	0.4283444348
615	0.4283102975
616	0.428293178
617	0.4281850514
618	0.4281191076
619	0.4280934824
620	0.4280454268
621	0.4280139751
622	0.4279534602
623	0.4279191795
624	0.4278948235
625	0.4278586575
626	0.4278366545
627	0.4278224938
628	0.4277857736
629	0.4277623763
630	0.4277236483
631	0.4277031023
632	0.4276338316
633	0.4276149078
634	0.427584008
635	0.4275324163
636	0.4274965643
637	0.4274537781
638	0.4274422399
639	0.4273537145
640	0.4272998156
641	0.4272700048
642	0.4272607822
643	0.4272410439
644	0.4271683069
645	0.4271530252
646	0.4271365124
647	0.4270267177
648	0.4269834803
649	0.4269622864
650	0.4269018943
651	0.4268787928
652	0.4267998216
653	0.426764318
654	0.4267343989
655	0.4266981673
656	0.4266524083
657	0.4265822905
658	0.4265445482
659	0.4265248412
660	0.4264917975
661	0.4264847818
662	0.426477406
663	0.4263703164
664	0.4263107866
665	0.4262800151
666	0.4262528273
667	0.4262353753
668	0.4261971891
669	0.4261794597
670	0.4261063694
671	0.4260783398
672	0.4260385924
673	0.4259765641
674	0.4259506466
675	0.4259077314
676	0.4258670878
677	0.4258353828
678	0.4258270912
679	0.4257705444
680	0.4257601479
681	0.4256929135
682	0.4256860197
683	0.4256469008
684	0.4256275538
685	0.4255128207
686	0.4254296537
687	0.4253854207
688	0.425369777
689	0.4253142308
690	0.4252684734
691	0.4252245774
692	0.4251834459
693	0.4251750789
694	0.4251124889
695	0.4250607629
696	0.4250288736
697	0.4249741536
698	0.4249495785
699	0.4249279068
700	0.4248582731
701	0.4247733456
702	0.4247521984
703	0.4246918017
704	0.4246063645
705	0.4245787903
706	0.4245614581
707	0.4245499438
708	0.4245330232
709	0.4245086594
710	0.4244603086
711	0.4243610185
712	0.424349517
713	0.4243262399
714	0.4243154422
715	0.4242586997
716	0.4242455321
717	0.424241427
718	0.4241600392
719	0.4241420881
720	0.4241161186
721	0.4240931151
722	0.4240605012
723	0.4240301356
724	0.4240057059
725	0.4239793456
726	0.423927144
727	0.4239140485
728	0.4238966407
729	0.4238870807
730	0.4238729208
731	0.4238288501
732	0.4237873166
733	0.4237208552
734	0.4237033026
735	0.4236296366
736	0.4235632233
737	0.4235451913
738	0.4235168427
739	0.4234978064
740	0.4234611059
741	0.4234385738
742	0.4234065225
743	0.4233543404
744	0.4233124373
745	0.4232552447
746	0.423242174
747	0.4232310071
748	0.4231538669
749	0.4230582469
750	0.4230291635
751	0.4229979401
752	0.422974979
753	0.4228928558
754	0.4228519757
755	0.4228385482
756	0.4227823065
757	0.4227466639
758	0.4227224576
759	0.4227044766
760	0.4226603578
761	0.4226315728
762	0.4226118883
763	0.4225854643
764	0.422575966
765	0.4225371142
766	0.4224887262
767	0.4223897671
768	0.4223727195
769	0.4223269976
770	0.4222547949
771	0.4222282747
772	0.4221328863
773	0.4220942182
774	0.422013784
775	0.4219715618
776	0.421927079
777	0.4219193044
778	0.4219152268
779	0.4218790608
780	0.4218584594
781	0.4218033938
782	0.4217690103
783	0.4217183168
784	0.4216770311
785	0.4216303278
786	0.4215552163
787	0.4215366745
788	0.4214183959
789	0.4213717346
790	0.4212849568
791	0.4212696336
792	0.4212504495
793	0.4212450026
794	0.4211953169
795	0.4211922996
796	0.4211638882
797	0.4211351585
798	0.4211250794
799	0.4210979233
800	0.4210408891
801	0.4210137008
802	0.4209867024
803	0.4209369899
804	0.4209079972
805	0.4208981481
806	0.4208683521
807	0.4208490708
808	0.4208355738
809	0.4208190162
810	0.4207911659
811	0.4207597894
812	0.4207343336
813	0.4207110816
814	0.4206854079
815	0.4206564743
816	0.4205954305
817	0.4205482478
818	0.4205425193
819	0.420530876
820	0.4204550016
821	0.4204154591
822	0.4203323232
823	0.420306137
824	0.4202739467
825	0.4202504954
826	0.4202225294
827	0.4201998294
828	0.4201695856
829	0.4201063839
830	0.4200745086
831	0.4200455876
832	0.4199974317
833	0.4199878711
834	0.4199216289
835	0.4198312301
836	0.419789382
837	0.4197703952
838	0.4197298365
839	0.4196901412
840	0.4196672181
841	0.4196338273
842	0.4196225588
843	0.4195286202
844	0.4195031723
845	0.4194878344
846	0.4194465956
847	0.4194103746
848	0.4193795011
849	0.4193659756
850	0.4193407043
851	0.4192952184
852	0.4192724865
853	0.4192378082
854	0.4191894293
855	0.4190870915
856	0.4190740774
857	0.419037803
858	0.4189951708
859	0.4189798387
860	0.418938519
861	0.4188963231
862	0.4188824294
863	0.4188095443
864	0.418738395
865	0.418692147
866	0.418675773
867	0.4186352978
868	0.4186081485
869	0.418565262
870	0.4185545292
871	0.4185320914
872	0.4185027365
873	0.4184558501
874	0.4183817534
875	0.4183678555
876	0.4183115943
877	0.418262599
878	0.4182223949
879	0.4182060801
880	0.4181924005
881	0.4181323476
882	0.4181045188
883	0.4180687976
884	0.4180334789
885	0.4179800942
886	0.417934717
887	0.4179031284
888	0.4178732845
889	0.4178429992
890	0.4178242878
891	0.4177921169
892	0.417781576
893	0.4177360308
894	0.4176972011
895	0.4176836033
896	0.417666262
897	0.4176279184
898	0.4175439345
899	0.4175164072
900	0.4174994843
901	0.4174638184
902	0.4174341507
903	0.4173907721
904	0.417367188
905	0.4173429477
906	0.4173242594
907	0.4173138226
908	0.4172982683
909	0.4172827632
910	0.4172252848
911	0.4171632612
912	0.4171229299
913	0.4171004172
914	0.4170901566
915	0.4170693029
916	0.4170142776
917	0.4169900379
918	0.4169631649
919	0.4169319135
920	0.4169098896
921	0.4168903797
922	0.4168296075
923	0.4167783782
924	0.4167474035
925	0.4167247236
926	0.4166644643
927	0.4166593454
928	0.4166333543
929	0.416606241
930	0.4165791525
931	0.4165173008
932	0.4165052854
933	0.4164544558
934	0.4164230364
935	0.4164024815
936	0.4163939455
937	0.416381912
938	0.4163662263
939	0.4163073841
940	0.4162970831
941	0.416259003
942	0.4162405196
943	0.4162152597
944	0.4161845424
945	0.4161480187
946	0.416140944
947	0.4161253201
948	0.4161198813
949	0.4160893666
950	0.4160348879
951	0.4160055137
952	0.4159815754
953	0.4159618208
954	0.4159355717
955	0.4159283549
956	0.4159203493
957	0.4159108669
958	0.4158427241
959	0.4158007803
960	0.4157591011
961	0.4157443253
962	0.4156644424
963	0.4156189588
964	0.4155870207
965	0.4155252136
966	0.4154941092
967	0.4154699898
968	0.415414605
969	0.4153678581
970	0.4153599096
971	0.4153271021
972	0.4153144623
973	0.4153038417
974	0.41527528
975	0.4152415496
976	0.4152244991
977	0.415190975
978	0.4151497782
979	0.4151326649
980	0.4151100967
981	0.4150967765
982	0.4150778194
983	0.4150635497
984	0.415019921
985	0.4150133638
986	0.4149899779
987	0.4149503866
988	0.4149339256
989	0.4149272422
990	0.4148983595
991	0.4148517269
992	0.4148482155
993	0.4148258917
994	0.4147846476
995	0.4147547717
996	0.4147426501
997	0.4146706678
998	0.4146122997
999	0.4145988396
